,name,nationality
761,Yrsa Sigurbardóttir ,none
762,Rosa Montero ,"worked for the El País newspaper, where she became editor in chief of the Sunday supplement in 1980/81"
763,Juan Gabriel Vásquez ,none
764,Pablo d'Ors ,Spanish
765,Norberto Morais,none
766,Voltaire ,French
767,Jean-Pierre Sarrazac ,French
768,Romain Gary ,none
769,Richard Ford ,Independence Day
770,Sérgio Sant'Anna ,Brazilian
771,Fiodor Dostoievski ,Russian
772,David Mamet ,"Chicago, Illinois"
773,Kate Quinn ,historical fiction
774,Sayaka Murata ,Japanese
775,Tom Malmquist ,none
776,Maja Lunde ,Norwegian
777,Emilio Van der Zuiden ,none
778,N. K. Jemisin ,American
779,Paulo M. Morais,none
780,Ana Cristina Silva,Portuguese
781,Hugo Gonçalves,Brazilian
782,Pedro Vieira,Portuguese
783,Ferreira de Castro,none
784,Sandra Catarino,none
785,argumento Benjamin von Eckartsberg ,none
786,Pepetela,Portuguese Angolan
787,Tina Vallès ,none
788,Claudia Piñeiro ,none
789,Anna Giurickovic Dato ,none
790,Dolores Redondo ,Offering to the Storm
791,Patrick White ,Manoly Lascaris
792,Ivan Gontcharov ,none
793,Vanessa Springora ,author Gabriel Matzneff
794,D. H. Machado ,"Miami, Florida"
795,Margaret Mitchell ,American
796,Hilary Mantel,Budleigh Salterton
797,Elizabeth Taylor ,British-American
798,Peter Handke ,Chaville
799,T. E. Lawrence ,"Tremadog, Carnarvonshire, Wales"
800,Fiódor Dostoiewski ,Russian
801,adapt. Fido Nesti ,none
802,G. K. Chesterton ,"Campden Hill in Kensington, London"
803,Teolinda Gersão,none
804,"org., introd, notas Hugo Pinto Santos",none
805,Helder Moura Pereira,none
806,Paulo da Costa Domingos,none
807,"ed. Jerónimo Pizarro, António Cardiello ",none
808,Fernanda Botelho,none
809,Henrique Manuel Bento Fialho,none
810,Orhan Pamuk ,Turkish
811,George Orwell ,eastern India
812,Joël Dicker ,Somerset
813,António Mega Ferreira,none
814,Patricia Highsmith ,Fort Worth
815,Fialho de Almeida,none
816,Mário Cesariny ,Portuguese
817,Ruben A.,Spanish origins
818,Edna O'Brien ,Irish
819,Frederico Lourenço,none
820,Christophe Chabouté ,none
821,Vergílio ,none
822,Ruben A,Spanish origins
823,Margaret Atwood,Canadian
824,"sel., introd. notas Carina Infante do Carmo",none
825,Victor Serge ,none
826,Roberto Arlt ,Argentine
827,Yasunari Kawabata ,writer Yasunari Kawabata
828,Valter Hugo Mãe,none
829,Hans Herbert Grimm ,"a form of novel using autofiction techniques, or the merging of autobiographical and fictive elements"
830,Hiro Arikawa ,"a man and his cat, traveling across Japan to visit old friends"
831,João Reis,none
832,Val Emmich ,"Manalapan, New Jersey"
833,Reinaldo Ferreira,none
834,David Machado,Portuguese
835,Cláudia Branco ,none
836,Júlio Cortázar ,none
837,Joana Estrela,none
838,Sophia de Mello Breyner Andersen ,Portuguese
839,trad. Vasco Graça Moura,Vasco
840,Jorge Luis Borges com Margarita Guerrero ,Argentinean
841,Pierre Loti ,none
842,"Cláudia Dias, António Jorge Gonçalves",none
843,Mafalda Santos ,Portugal
844,Daniel Faria ,Portuguese
845,ed. e sel. Fernando Gómez Aguilera ,none
846,Vassili Grossman ,none
847,Davide Enia ,none
848,Samuel Beckett ,Foxrock suburb of Dublin
849,María Hesse ,none
850,"Cláudia Dias, Idoia Zabaleta, António Jorge Gonçalves",none
851,Jennifer Niven ,14 May 1968
852,Kamo no Chomei ,Japanese
853,Knut Hamsun ,Knut Hamsun
854,Stefan Zweig ,Hallam Street
855,Guerra Junqueiro,Portuguese
856,Padre António Vieira,none
857,Raúl Brandão,none
858,Jokha Alharthi ,none
859,Camillo Castello Branco,none
860,Mariana Abrunheiro ,none
861,"com. cient. Antonio Cardiello, Jerónimo Pizarro, Sílvia Laureano Costa ",none
862,Alice Hoffman ,American
863,Pedro Strecht ,none
864,Juan José Millás e Juan Luis Arsuaga  ,none
865,Eugénio de Andrade ,none
866,Abdulrazak Gurnah  ,Tanzania
867,Nan Shepherd ,"Dunvegan, Cults"
868,Anthony Doerr ,Anthony Doerr (1973) is an American
869,Nélida Piñon,none
870,João Afonso,none
871,Saul Bellow ,Solomon Bellows
872,Arsène Lupin ,French
873,Haruki Murakami ,village superior
874,Carlos de Oliveira ,none
875,Stanislaw Lem ,"Lwów, interwar Poland (now Lviv, Ukraine)"
876,Knut Hamsun e Martin Ernstsen ,none
877,Boris Vian ,French
878,argumento Pascal Davoz ,none
879,Alice Vieira e Nélson Mateus,none
880,José Gardeazabal,none
881,Barry Strauss ,American
882,Mikhail Bulgákov ,born in Kiev
883,Maya Angelou ,African American woman
884,Carlos Querido,none
885,Luís Maio,Italian
886,Aldous Huxley ,"Godalming, Surrey, England"
887,André Malraux ,none
888,Mário de Carvalho  ,Mário
889,Maria Àngels Anglada ,none
890,director artístico Tiago Rodrigues ,none
891,Mathias Énard ,Persian and Arabic
892,versão de Pedro Tamen do texto inglês de N. K. Sandars ,none
893,Sándor Márai ,none
894,Jorge Amado,Brazilian novelist whose stories of life in the eastern Brazilian state of Bahia
895,Rui Cardoso Martins,none
896,António Tabucchi ,none
897,Barry Hatton,none
898,Paulo Varela Gomes ,none
899,Pedro Mexia ,none
900,"Clara Moura Soares, Maria João Neto ",none
901,Nuno Camarneiro,none
902,Fiódor Dostoiévski ,Russian
903,Carlos Alberto Machado,none
904,Giuseppe Tomasi di Lampedusa ,"Palermo, Sicily, Italy"
905,Alberto S. Santos,none
906,Elie Wiesel ,Romanian-born American
907,Christiane F. ,she still uses drugs
908,Miguel Manso,none
909,Afonso Melo,none
910,Dostoiévski ,Russian
911,Guy Delisle ,none
912,Mário de Sá-Carneiro ,Portuguese
913,Gabriel García Márquez,"Aracataca, Colombia"
914,Mary Shelley ,English
915,Abel Neves,none
